Date	TimeOfDay	Type	SubType	Distance	DistanceUnit	Duration	Weight	WeightUnit	RestHR	AvgHR	MaxHR	Sleep	Calories	Quality	Effort	Weather	Temperature	TempUnit	Notes	Course	CourseSurface	CourseNotes	ShoeMake	ShoeModel	Size	System	ShoeSerial	ShoePrice	OverallPlace	FieldSize	GroupMinAge	GroupMaxAge	GroupPlace	GroupSize	GenderPlace	GenderSize	
2007-12-03	5:30 AM	Run	Tempo	4.03	Mile	0:32:00								7	6	Sunny	50	F		SLAC Southfork Loop	Asphalt, Concrete		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2007-12-08	9:15 AM	Run	Easy	3.37	Mile	0:32:29								7	7	Sunny	80	F	knee pain	Silvercreek Loop	Concrete		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2007-12-10	5:30 AM	Run	Tempo	5.13	Mile	0:39:55								8	8	Sunny,Humid	75	F		Morgan Southfork Loop (SLAC)	Asphalt, Concrete		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2007-12-11	2:00 PM	Weights	0																power yoga tape 1 hr																	
2007-12-11	8:30 PM	Run	Easy	6.00	Mile	0:48:28								7	6	Humid	75	F	night run with beth.	Memorial Loop	Track		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2007-12-13	2:00 PM	Weights	0																power yoga																	
2007-12-14	7:00 PM	Run	Easy	6.00	Mile	0:49:16								7	6					Memorial Loop	Track		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2007-12-18	2:00 PM	Weights	0																																	
2007-12-19	5:15 AM	Run	Tempo	4.00	Mile	0:30:07								7	7	PartlyCloudy	65	F	comfortably hard :-p	SLAC Silverlake Loop	Asphalt		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2007-12-19	7:15 PM	Run	Easy	3.00	Mile	0:24:47								7	3	Humid	75	F		Memorial Loop	Track		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2007-12-20	2:00 PM	Weights	0																																	
2008-01-06	10:00 AM	Run	Easy	3.87	Mile	0:34:30	103.0	lb		183	220			7	3	Sunny	72	F	getting over cold.	LOEE Loop	Concrete, Treadmill		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-01-07	5:30 AM	Run	Tempo	5.78	Mile	0:43:05								7	7	Sunny,Windy	70	F		Silverlake Loop (SLAC)	Asphalt		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-01-09	7:30 PM	Rock Climbing	Default	0.00		2:00:00	103.0	lb											2 hours at Texas Rock Gym																	
2008-01-10	3:00 PM	Yoga	Default																30 minutes																	
2008-01-12	10:30 AM	Run	Easy	4.30	Mile	0:36:26	103.0	lb	80	190	220			7	5	Sunny	66	F	nice easy run. the weather was perfect.  even caught some girl scouts selling cookies :-)	South Creek/Southfork Loop	Concrete, Grass		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-01-13	3:15 PM	Run	Easy	3.37	Mile	0:26:09	103.0	lb						7	6	Sunny	66	F	rockin out to *the streets*.  saw some horses.  knee popped in the first 2 minutes but didn't hurt for the rest of the run.  pace felt pretty good considering all of the drinking last night.	Silvercreek Loop	Concrete		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-01-14	3:30 PM	Run	Easy	4.06	Mile	0:35:00	103.0	lb						7	5				left knee bothered me a little.  same one that popped yesterday.  otherwise felt pretty good.	SRC Gym	Grass		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-01-15	1:00 PM	Yoga	Default	0.00		0:45:00	103.0	lb											45 minutes of power yoga																	
2008-01-16	6:00 PM	Run	Easy	8.70	Mile	1:09:47	103.0	lb						7	6		57	F	this time the right knee was bothering me a little.  tightened up after the run. should have stretched and ice, instead played pool and had a couple of beers.  also there was an annoying guy who stayed a little behind and off to me left for most of the last loop, i hate playing rabbit for someone.  one last "seemed like a good idea at the time" should not have had sushi and gelato before run.	Memorial Loop	Track		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-01-17	3:00 PM	Yoga	Default	0.00		0:30:00	103.0	lb																												
2008-01-20	2:45 PM	Run	Easy	3.45	Mile	0:30:54	103.0	lb						5	6		53	F	legs felt really heavy.  ankles hurt for the first mile and knees hurt for the last mile... hmmm maybe I am getting old.	Northfork Out and Back	Asphalt, Treadmill		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-01-24	3:00 PM	Yoga	Default	0.00		0:35:00	103.0	lb																												
2008-01-26	12:00 PM	Run	Easy	5.85	Mile	0:52:20	103.0	lb						7	5	Sunny	51	F		Northfork/Southfork Loop	Concrete		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-01-27		Run	Easy	2.49	Mile	0:21:40	103.0	lb						6	3	Sunny	48	F	felt pretty good. did the loop backwards.	Southfork Loop	Asphalt		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-01-28	2:00 PM	Run	Easy	3.66	Mile	0:30:00	103.0	lb						6	6				right knee hurt a little.  did a 5-4-3-2-1 followed by 15 minutes of cool down. and light lifting.	SRC Gym	Grass		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-01-31	5:30 AM	Run	Easy	10.68	Mile	1:32:32	103.0	lb						7	5	Sunny,Humid	60	F	route needs some work. the part on 518 was impossible to run. slight knee pain but felt pretty good throughout.	10 MILES	Asphalt		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-02-02	9:00 AM	Run	Race	6.00	Kilometer	0:27:20	103.0	lb						6	6	Sunny	72	F	http://results.active.com/pages/displayNonGru.jsp?rsID=59214&orgID=234636&pubID=2<br>http://results.active.com/pages/displayNonGru.jsp?rsID=59215&orgID=234636&pubID=2	Buffalo Wallow 6K	Concrete, Treadmill		ASICS	Hyper-Rocketgirl XCS	9.50	US/Canada		50.00	32	56	20	24	1	1	5	18
2008-02-04	5:30 AM	Elliptical	Default	2.50	Mile	0:30:00	103.0	lb						6	5																					
2008-02-05	2:30 PM	Spinning	Default	5.00	Mile	0:25:30	103.0	lb						6	5					SRC Gym	Grass															
2008-02-06	5:30 AM	Run	Easy	4.00	Mile	0:31:57	103.0	lb						7	5	Windy	48	F	kind of cold.  did the loop backwards.  	SLAC Silverlake Loop	Asphalt		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-02-06	7:45 PM	Rock Climbing	Default	0.00		1:00:00	103.0	lb																												
2008-02-09	2:20 PM	Run	Race	4600.00	Meter	0:18:49	103.0	lb						7	6	Sunny	70	F	the air was super dry.  the 1600 was not very much fun.  the 3k was a lot easier.	Caltech Track			ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-02-10	6:00 AM	Run	Easy	12.18	Mile	1:49:36	103.0	lb						6	4	Sunny	41	F	both knees started hurting.  the run was beautiful.	PASADENA 12 MILER	Asphalt, Concrete, Track		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-02-11	5:30 AM	Run	Easy	4.00	Mile	0:31:26	103.0	lb						7	3	Sunny,Humid	60	F	really tight throughout the run.  should stretch really good tonight.	SLAC Silverlake Loop	Asphalt		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-02-13	6:30 PM	Run	Easy	6.00	Mile	0:46:36	103.0	lb									50	F	kind of cold.  felt pretty good.  shoes were tied tight enough during first lap.  left bottom of foot tightened up.  knees sore afterwards.  once again beer at front porch instead of icing ;-)	Memorial Loop	Track		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-02-14	1:00 PM	Yoga	Default	0.00		0:35:00	103.0	lb																												
2008-02-16	9:00 AM	Run	Easy	3.45	Mile	0:29:18	103.0	lb									68	F	nice easy pre-race 	Northfork Out and Back	Asphalt, Treadmill		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-02-17	7:00 AM	Run	Race	13.10	Mile	1:42:51	103.0	lb						7	7		45	F	uhmmm... austin is very hilly.  overall felt pretty good.  last two miles were killer.<br><br>http://www.runpix.biz/aus08/21/finord.php?LastNameEM=17431 	Austin Half Marathon	Asphalt, Concrete		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00	498	6034	20	24	16	398	113	3513
2008-02-19	5:30 PM	Run	Easy	3.00	Mile	0:24:00	103.0	lb								Sunny	60	F	easy run with jackie, after "burying" her car.	Rice	Track		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-02-24	6:30 AM	Run	Easy	3.00	Mile	0:27:00	103.0	lb											colorado gym	SRC Gym	Grass		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-03-01	9:00 AM	Run	Easy	6.78	Mile	1:09:28	103.0	lb								Sunny,Humid	70	F	chinqapin/triple c trail	Huntsville State Park	Track	http://www.tpwd.state.tx.us/publications/pwdpubs/media/park_maps/pwd_mp_p4505_044d.pdf	ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-03-03	5:30 AM	Run	Easy	6.16	Mile	0:50:23	103.0	lb						5	5	Sunny,Windy,Humid	70	F	uhmmm... saturday was crappy, today was crappy.  legs felt like crap.  somewhat dehydrated still from awesome birthday party.	SLAC 6 Miler	Asphalt		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-03-09	8:30 AM	Run	Easy	16.14	Mile	2:25:41	103.0	lb						6	6	Sunny,Windy	69	F	had some weezer and outcast.  everything hurt by the end.  luna chews suck.	Southwyck	Concrete, Treadmill		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2008-03-13	3:00 PM	Elliptical	Default	3.00	Mile	0:30:00	104.0	lb											tried running but arch started huring forced to do elliptical																	
2008-03-18	3:30 PM	Run	Easy	3.34	Mile	0:30:00	104.0	lb											foot stopped hurting :-)  but i do have new blisters on my toes :-(	SRC Gym	Grass		Nike	Zoom Structure Triax 11+	9.50	US/Canada										
2008-03-20	3:00 AM	Run	Easy	3.24	Mile	0:30:00	104.0	lb						5	5				no pain, but i was kinda tired and thought i was going to puke :0	SRC Gym	Grass		Nike	Zoom Structure Triax 11+	9.50	US/Canada										
2008-03-22	8:00 AM	Run	Easy	18.47	Mile	3:00:00	104.0	lb						6	6	Sunny	65	F	ankles really started hurting during rice loop.  stupid pekingese dog caused unwanted break.	Rice to Memorial	Asphalt, Concrete, Track		ASICS	GT-2130	10.00	US/Canada		92.55								
2008-03-24	5:30 AM	Run	Easy	5.16	Mile	0:41:44	104.0	lb						7	7		55	F	right ankle hurt.  run felt pretty good overall...	Silvercreek Loop (SLAC)	Asphalt		ASICS	GT-2130	10.00	US/Canada		92.55								
2008-03-26	5:00 PM	Run	Easy	2.01	Mile	0:20:00	108.0	lb						5	5				ankle still hurts a little, set treadmill grade at 4.5%	SRC Gym	Grass		ASICS	GT-2130	10.00	US/Canada		92.55								
2008-03-26	5:30 PM	Yoga	Default				108.0	lb						6	6				20 minutes of yoga + 2 sets on bench + 2 sets tricep dips																	
2008-03-30	8:30 AM	Run	Easy	5.20	Mile	0:49:45	108.0	lb						5	5	Overcast	75	F	just wasn't feeling it	Bailey Bridge	Concrete	stop light to stop light	ASICS	GT-2130	10.00	US/Canada		92.55								
2008-03-31	5:30 AM	Run	Easy	5.16	Mile	0:42:48	108.0	lb						6	6	Overcast,Windy,Humid	73	F		Silvercreek Loop (SLAC)	Asphalt		ASICS	GT-2130	10.00	US/Canada		92.55								
2008-04-01	6:30 PM	Run	Easy	6.00	Mile	0:47:44	108.0	lb								Sunny,Humid	85	F	not too bad, second loop was nauseating, but i picked up the speed.	Memorial Loop	Track		ASICS	GT-2130	10.00	US/Canada		92.55								
2008-04-06	8:30 AM	Run	Easy	20.91	Mile	4:12:58	108.0	lb												uhmmm long	Asphalt, Concrete		ASICS	GT-2130	10.00	US/Canada		92.55								
2008-04-09	6:30 PM	Run	Easy	3.95	Mile	0:32:57	108.0	lb						8	5	Humid	78	F	ran the loop backwards. felt awesome.	LOEE Loop	Concrete, Treadmill		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
2008-04-10	5:30 PM	Run	Easy	5.15	Mile	0:42:02	108.0	lb						8	3	Overcast,Rain,Humid	80	F	misty run. felt awesome.	silvercreek/southwyck pkwy	Asphalt, Concrete		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
2008-04-14	5:30 AM	Run	Easy	4.90	Mile	0:41:28	108.0	lb						7	6		47	F	nice and easy	Southfork/Northfork (SLAC)	Concrete		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
2008-04-20	10:00 AM	Bike	Easy	7.00	Mile	2:00:00	108.0	lb									70	F																		
2008-04-27	6:45 AM	Run	Race	26.20	Mile	4:25:51	108.0	lb						7	7	Sunny	60	F	hardest race ever!	Big Sur Marathon	Asphalt		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00	1403	3199	20	24	43	103	451	1322
2008-05-04	1:20 PM	Bike	Easy	5.00	Mile	1:00:00	108.0	lb									80	F																		
2008-08-11	7:00 PM	Run	Easy	3.00	Mile	0:24:22	108.0	lb						6	6	Sunny,Humid	93	F	no pain!! woohoo!!!	Memorial Loop	Track		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
2008-08-12	3:00 PM	Yoga	Default	0.00		0:30:00	108.0	lb											some power yoga																	
2008-08-13	3:30 PM	Spinning	Default	6.16	Mile	0:35:00	108.0	lb						6	6				felt pretty good, followed up with leg presses/calf raises/ bench/dips																	
2008-08-14	6:00 PM	Run	Easy	4.00	Mile	0:32:18	108.0	lb						7	7	Sunny,Humid	95	F	ran with beth before picking up rajiv.  overall a pretty easy workout.	Memorial Loop	Track		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
2008-08-19	11:00 AM	Run	Easy	3.48	Mile	0:33:55	108.0	lb						7	7	Humid,PartlyCloudy	85	F	light mist.  ran with beth.  apparently this is "crack alley" and we won't run there again.	work loop 1	Asphalt		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
2008-08-20	5:00 PM	Run	Easy	4.30	Mile	0:39:44	108.0	lb						5	5	Sunny,Humid	80	F	wet day but not raining. right shin was pretty tight during most of the run.  first mile was 8:30 so i must have really slowed down.  boys are stressing me out.	South Creek/Southfork Loop	Concrete, Grass		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
2008-08-23	8:30 AM	Run	Easy	6.00	Mile	0:51:05	108.0	lb						5	5	Sunny,Humid	80	F	so my right knee hurt a smidgen.  also this was after pub gold hence the slow times.	Memorial Loop	Track		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
2008-08-25	6:30 PM	Run	Easy	3.87	Mile	0:31:34	108.0	lb						6	7	Sunny,Humid	91	F	25:21 to southfork<br>2:26 rest and stretch<br>6:13 back in<br><br>felt pretty good overall.  no pain.  felt kinda shitty approaching southfork.  felt like superman back in.  hit morgan in 8:06.<br><br>	Northfork Loop	Asphalt, Grass		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
2008-08-26	6:35 AM	Run	Easy	4.30	Mile	0:35:06	108.0	lb						6	6	Sunny,Humid	84	F	27:47 to morgan<br>1:29 rest<br>7:18 back in<br><br>ran it backwards.  got a little emotional on the first bit.  stupid boys. tried to push back a little.  there was a nice breeze, for most of it. cooled down with a quickie walk with feo.	South Creek/Southfork Loop	Concrete, Grass		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
2008-08-27		Yoga	Default	0.00		0:45:00	108.0	lb											almost face planted.  walked feo in the evening.																	
2008-09-02	7:00 PM	Run	Easy	3.37	Mile	0:45:00	108.0	lb						6	6	Sunny,Humid	90	F	walked a lot of it with feo.  she can be so moody and slow.	Silvercreek Loop	Concrete		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
2008-09-03	6:00 PM	Run	Easy	3.40	Mile	0:30:00	108.0	lb						6	6				eh, got the run in. was wearing my bike shoes on left foot	SLAC Treadmill	Grass		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
2008-09-03	6:00 PM	Mountain Bike	Default	3.36	Mile	0:20:00	108.0	lb						6	6	Sunny,Humid	89	F	took it easy both ways	SLAC out and back	Asphalt															
2008-09-03	7:30 PM	Feo Walking	Default	1.21	Mile	0:30:00	108.0	lb								Sunny,Humid	85	F		Morgan Loop	Asphalt															
2008-09-04	8:00 PM	Run	Easy	1.56	Mile	0:15:00	108.0	lb						6	2	Sunny,Humid	85	F	8 minutes out<br>7:22 in	Southfork Church, Out and Back	Concrete		ASICS	GT-2130	10.00	US/Canada		92.55								
2008-09-04	8:00 PM	Run	Easy	5.67	Mile	1:00:00	108.0	lb						6	1	Humid	80	F	nice easy run with Dona.  Might have to push her a little harder next time.	Dona's 6 Miler	Asphalt, Concrete, Treadmill		ASICS	GT-2130	10.00	US/Canada		92.55								
2008-09-05	8:15 PM	Feo Walking	Default	1.21	Mile	0:24:00	108.0	lb									83	F	quickie walk after talking to vero.	Morgan Loop	Asphalt															
2008-09-06	5:45 AM	Run	Easy	12.12	Mile	1:44:22	108.0	lb						7	7	Sunny	65	F	glorious run of fun.  there slight ankle pain and my right knee hurt a little.  houston almost looked like a running city.  ran with dd, dona, and maria.	Memorial 12 miler	Asphalt, Concrete	W Memorial Loop Around<br>R on Memorial to Woodway Dr.<br>L on W Loop S<br>L Post Oak<br>L S. Post Oak (T intersection)<br>R Briar Hollow Ln<br>L S. Briar Hollow Ln<br>R E. Briar Hollow Ln<br>L. San Felipe<br>L. Willowick<br>L W Lane (up one block), turns into Iverness<br>L Willowick<br>L Inwood<br>L Chilton<br>L Denman<br>R Kirby (to Allen Pkwy)<br>L Waugh<br>(stay around park)<br>R Jackson Hill<br>L Scotland<br>R Snover<br>L Feagan<br>R Roy<br>L Blossom<br>L Cowen (follow loop around)<br>L Blossom<br>L Crestwood<br>R Memorial<br>R Memorial Loop<br><br><br><br><br><br>	ASICS	GT-2130	10.00	US/Canada		92.55								
2008-09-07	7:30 PM	Feo Walking	Default	1.21	Mile	0:30:00	108.0	lb						6	6	Sunny	83	F		Morgan Loop	Asphalt															
2008-09-08	6:45 PM	Feo Walking	Default	1.21	Mile	0:30:00	108.0	lb						6	1					Morgan Loop	Asphalt															
2008-09-09	4:00 PM	Elliptical	Default	6.00	Mile	1:00:00	108.0	lb						6	6																					
2008-09-09	7:45 PM	Feo Walking	Default	1.21	Mile	0:30:00	108.0	lb						6	6					Morgan Loop	Asphalt															
2008-09-10	6:00 AM	Run	Easy	1.56	Mile	0:16:29	108.0	lb								Sunny,Humid	75	F	8:55 out<br>7:34 back<br><br>eh nice warm up/cool down, super humid 87%	Southfork Church, Out and Back	Concrete		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
2008-09-10	6:15 AM	Run	Easy	3.87	Mile	0:35:30	108.0	lb						6	6	Sunny,Humid	75	F	super humid. nice easy run with dona.	Northfork Loop	Asphalt, Grass		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
2008-09-14	9:00 AM	Run	Easy	6.57	Mile	0:58:35	108.0	lb						3	7	Sunny	80	F	mom biked while i ran.  felt like crap leg-wise.  herndon is much hillier than i remember it being.  my legs were tight for most of the run.  the weather felt cooler than texas but i couldn't enjoy it because of the hills.	Herndon Parkway	Concrete		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
2008-09-15	7:00 PM	Feo Walking	Default	2.03	Mile	0:45:00	108.0	lb						6	6					Morgan Park	Asphalt, Treadmill															
2008-09-16	11:30 AM	Run	Easy	5.85	Mile	0:57:24	108.0	lb						3	6	Sunny	80	F	legs felt like lead.  the breeze was nice.  yay for hurricane ike and cold fronts.	Northfork/Southfork Loop	Concrete		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
2008-09-17	7:00 PM	Feo Walking	Default	1.21	Mile	0:30:00	108.0	lb						6	6		76	F		Morgan Loop	Asphalt															
2008-09-18	5:20 AM	Run	Easy	1.56	Mile	0:15:24	108.0	lb									70	F	out: 8:16<br>back: 7:08<br><br>easy	Southfork Church, Out and Back	Concrete		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
2008-09-18	5:30 AM	Run	Easy	5.75	Mile	0:55:10	108.0	lb						5	5		68	F	temperature was nice.  legs felt better.	Dona's 6 Miler	Asphalt, Concrete, Treadmill		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
2008-09-18	7:00 PM	Feo Walking	Default	1.21	Mile	0:30:00	108.0	lb						6	6		76	F		Morgan Loop	Asphalt															
2008-09-20	5:45 PM	Feo Walking	Default	2.49	Mile	1:00:00	108.0	lb									80	F	lots of freaking bug bites	Southfork Loop	Asphalt															
2008-09-23	6:00 PM	Feo Walking	Default	1.21	Mile	0:30:00	108.0	lb												Morgan Loop	Asphalt															
2008-09-23	7:00 PM	Run	Easy	6.11	Mile	0:50:39	108.0	lb						6	6		75	F	felt really good.  stopped by joanns on the way back	new orleans- drury inn	Track		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
2008-09-24	7:15 PM	Yoga	Default	0.00		1:00:00	108.0	lb											enya and norah jones.  left knee's a little weird.																	
2008-09-25		Feo Walking	Default	1.21	Mile	0:35:00	108.0	lb												Morgan Loop	Asphalt															
2008-09-27	5:30 AM	Run	Easy	13.21	Mile	2:09:20	108.0	lb						7	6		75	F	left knee really hurt.  damnit.	Memorial 13	Asphalt, Concrete		ASICS	GT-2130	10.00	US/Canada		92.55								
2008-09-28	8:00 AM	Mountain Bike	Default	8.16	Mile	1:30:00	108.0	lb						6	6		65	F	feo's having an allergic reaction. :( but bike was cool	Terry Hershey Park	Track															
2008-09-30	6:10 PM	Run	Easy	3.19	Mile	0:25:27	108.0	lb						6	6		85	F	felt pretty good, no pain. followed it up with st. arnold's octoberfest and young's double chocolate float.	Gingerman Run	Track		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
2008-10-01	7:15 PM	Yoga	Default	0.00		1:00:00	108.0	lb											fun fun fun																	
2008-10-04	6:00 PM	Run	Interval	3.00	Mile	0:23:01	108.0	lb						6	7		83	F	good run.  sore from HUET.  did a 4-3-2-1.  8 minute warm up, 5 minute cool down.	Memorial Loop	Track		ASICS	GT-2130	10.00	US/Canada		92.55								
2008-10-05	10:00 AM	Run	Easy	4.22	Mile	0:43:56	108.0	lb						1	3				i felt like crap.  i wanted to cry.  i was supposed to run longer today. god damnit.	i'm dieing			ASICS	GT-2130	10.00	US/Canada		92.55								
2008-10-05	5:00 PM	Feo Walking	Default	2.03	Mile	1:00:00	108.0	lb												Morgan Park	Asphalt, Treadmill															
2008-10-06	7:15 PM	Yoga	Default	0.00		1:00:00	108.0	lb																												
2008-10-07	4:45 AM	Run	Tempo	9.54	Mile	1:20:53	108.0	lb						7	8		76	F	5x5. 2.5 minute recovery.  felt goodish during.  stomach felt like i was holding in from both ends afterward.	runny runny	Asphalt	5x5 2.5 minute rest with warmup	ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
2008-10-08	7:15 PM	Yoga	Default	0.00		1:00:00	108.0	lb											i almost got the crow																	
2008-10-10	7:15 PM	Run	Easy	2.49	Mile	0:23:30	108.0	lb						6	3		74	F	super easy run. nice warmup for the skirtchaser.  left knee bothered me a little.	Southfork Loop	Asphalt		ASICS	Gel-DS Trainer 12	9.50	US/Canada		66.00								
